id,count
0,106.0
1,164.0
2,88.0
4,49.0
5,93.0
10,129.0
11,5.0
12,398.0
15,15.0
17,134.0
18,252.0
23,214.0
25,113.0
26,20.0
31,214.0
39,161.0
40,26.0
41,193.0
42,425.0
43,133.0
51,215.0
52,117.0
54,17.0
60,138.0
61,155.0
62,119.0
63,46.0
65,118.0
66,115.0
68,181.0
71,30.0
80,30.0
82,137.0
94,97.0
98,278.0
101,49.0
102,165.0
107,5.0
112,296.0
113,6.0
115,137.0
116,118.0
120,56.0
121,30.0
122,331.0
132,221.0
143,6.0
147,137.0
150,16.0
151,78.0
152,215.0
153,86.0
155,222.0
156,93.0
159,256.0
161,51.0
163,20.0
177,152.0
186,2.0
188,16.0
190,106.0
191,81.0
192,316.0
195,335.0
200,137.0
209,331.0
210,15.0
211,173.0
214,5.0
215,14.0
218,92.0
219,52.0
222,56.0
225,14.0
228,310.0
236,256.0
241,37.0
242,127.0
243,317.0
245,15.0
247,252.0
251,165.0
252,103.0
253,78.0
254,109.0
258,293.0
260,137.0
261,189.0
265,137.0
266,252.0
267,331.0
269,133.0
270,137.0
275,95.0
278,52.0
279,78.0
286,96.0
287,28.0
288,315.0
289,137.0
293,17.0
294,109.0
297,137.0
302,107.0
303,6.0
304,93.0
307,109.0
309,17.0
311,180.0
312,137.0
314,188.0
315,317.0
319,153.0
322,119.0
323,137.0
325,91.0
327,252.0
330,52.0
332,284.0
333,17.0
338,92.0
341,107.0
345,193.0
348,339.0
349,50.0
350,129.0
352,137.0
355,17.0
356,123.0
358,137.0
363,138.0
369,123.0
371,18.0
372,161.0
375,252.0
380,115.0
388,44.0
391,165.0
392,310.0
393,425.0
394,191.0
396,34.0
401,49.0
407,137.0
409,78.0
410,129.0
416,75.0
418,129.0
420,167.0
421,227.0
422,161.0
424,317.0
428,425.0
429,126.0
431,5.0
435,3.0
439,129.0
441,3.0
447,78.0
449,181.0
451,130.0
452,17.0
454,262.0
458,172.0
463,137.0
467,15.0
470,316.0
471,133.0
474,324.0
478,15.0
483,124.0
484,91.0
485,69.0
486,114.0
491,92.0
494,74.0
495,252.0
497,193.0
499,304.0
515,92.0
518,221.0
521,56.0
525,167.0
529,291.0
532,138.0
534,137.0
540,137.0
544,252.0
547,133.0
549,44.0
563,38.0
564,126.0
567,138.0
572,113.0
577,181.0
578,317.0
585,425.0
588,130.0
589,113.0
590,119.0
592,17.0
594,305.0
596,14.0
598,425.0
599,122.0
605,49.0
606,138.0
607,252.0
608,191.0
609,137.0
610,252.0
611,267.0
614,133.0
615,315.0
616,213.0
617,92.0
618,278.0
624,124.0
629,189.0
631,107.0
633,117.0
637,27.0
638,90.0
643,137.0
644,137.0
645,40.0
646,182.0
648,250.0
650,49.0
651,241.0
652,252.0
656,137.0
657,20.0
659,26.0
660,158.0
662,95.0
665,425.0
675,317.0
681,131.0
682,158.0
685,17.0
686,256.0
689,27.0
696,92.0
703,137.0
704,85.0
705,109.0
714,315.0
717,117.0
718,20.0
720,103.0
721,164.0
723,315.0
726,222.0
728,181.0
730,241.0
731,34.0
734,342.0
737,30.0
738,17.0
745,127.0
746,26.0
749,228.0
752,27.0
753,222.0
758,315.0
765,14.0
766,176.0
768,86.0
769,214.0
774,125.0
775,127.0
781,137.0
784,331.0
794,17.0
795,271.0
796,69.0
802,193.0
803,267.0
805,38.0
806,278.0
807,90.0
809,17.0
810,151.0
812,191.0
814,124.0
818,247.0
819,115.0
825,137.0
836,88.0
839,92.0
847,252.0
848,241.0
851,181.0
852,122.0
853,49.0
857,133.0
858,39.0
859,247.0
861,8.0
867,66.0
870,247.0
871,214.0
872,217.0
874,380.0
881,256.0
886,111.0
890,137.0
895,168.0
899,75.0
900,271.0
901,282.0
902,213.0
903,49.0
913,226.0
918,150.0
923,109.0
924,45.0
926,34.0
927,17.0
930,193.0
934,44.0
937,138.0
939,109.0
941,103.0
942,425.0
946,271.0
950,92.0
953,57.0
959,134.0
961,27.0
962,103.0
964,134.0
969,233.0
971,111.0
976,19.0
978,274.0
980,278.0
981,120.0
990,425.0
993,17.0
996,16.0
998,335.0
999,152.0
1006,108.0
1008,15.0
1013,19.0
1015,92.0
1016,121.0
1022,271.0
1026,214.0
1028,304.0
1031,37.0
1034,137.0
1037,213.0
1040,137.0
1042,16.0
1046,16.0
1048,90.0
1049,100.0
1050,137.0
1051,111.0
1052,214.0
1055,241.0
1060,92.0
1064,27.0
1066,15.0
1071,90.0
1073,14.0
1089,123.0
1091,121.0
1092,100.0
1093,241.0
1096,271.0
1097,216.0
1098,16.0
1099,38.0
1102,126.0
1107,117.0
1109,19.0
1111,46.0
1112,94.0
1114,310.0
1116,293.0
1117,121.0
1118,26.0
1122,125.0
1124,152.0
1127,137.0
1133,158.0
1134,44.0
1135,109.0
1139,271.0
1143,137.0
1150,132.0
1151,94.0
1153,271.0
1155,34.0
1162,30.0
1163,228.0
1166,14.0
1171,69.0
1172,14.0
1173,226.0
1174,85.0
1177,75.0
1178,193.0
1184,222.0
1185,94.0
1186,135.0
1187,272.0
1188,278.0
1191,112.0
1207,105.0
1213,44.0
1215,92.0
1223,304.0
1227,108.0
1236,137.0
1237,137.0
1238,17.0
1241,26.0
1248,17.0
1250,46.0
1251,92.0
1253,132.0
1255,92.0
1257,126.0
1261,132.0
1262,398.0
1265,120.0
1273,150.0
1277,278.0
1278,112.0
1280,107.0
1284,193.0
1285,271.0
1288,30.0
1295,111.0
1297,398.0
1299,239.0
1304,138.0
1308,40.0
1310,92.0
1311,221.0
1314,106.0
1315,119.0
1318,42.0
1320,271.0
1321,335.0
1322,278.0
1330,91.0
1333,152.0
1334,158.0
1341,125.0
1344,109.0
1351,158.0
1354,89.0
1356,137.0
1363,108.0
1365,193.0
1369,221.0
1373,107.0
1375,111.0
1377,80.0
1379,125.0
1380,271.0
1381,74.0
1384,151.0
1390,309.0
1393,274.0
1395,137.0
1399,277.0
1400,91.0
1401,215.0
1404,221.0
1408,2.0
1409,5.0
1413,213.0
1416,324.0
1418,92.0
1423,117.0
1424,34.0
1425,17.0
1433,248.0
1434,153.0
1436,366.0
1442,278.0
1444,75.0
1445,138.0
1452,123.0
1455,150.0
1462,137.0
1467,37.0
1472,20.0
1475,267.0
1493,83.0
1501,228.0
1503,310.0
1504,164.0
1505,14.0
1511,256.0
1512,137.0
1513,91.0
1514,30.0
1528,173.0
1533,215.0
1534,30.0
1536,134.0
1537,96.0
1539,316.0
1550,193.0
1552,214.0
1554,214.0
1555,425.0
1556,85.0
1559,5.0
1563,158.0
1566,181.0
1567,193.0
1568,46.0
1571,216.0
1572,27.0
1574,137.0
1577,14.0
1583,88.0
1585,30.0
1586,193.0
1587,151.0
1596,173.0
1602,5.0
1604,15.0
1605,33.0
1610,271.0
1611,95.0
1616,37.0
1617,92.0
1618,14.0
1622,33.0
1623,33.0
1628,271.0
1631,15.0
1632,284.0
1633,244.0
1634,280.0
1636,158.0
1637,95.0
1643,37.0
1644,90.0
1646,103.0
1648,216.0
1651,33.0
1656,22.0
1658,165.0
1659,24.0
1665,222.0
1666,165.0
1670,30.0
1674,109.0
1679,187.0
1680,304.0
1683,342.0
1686,30.0
1691,95.0
1693,33.0
1696,37.0
1697,85.0
1703,117.0
1706,30.0
1709,107.0
1710,86.0
1712,316.0
1713,199.0
1718,398.0
1719,152.0
1722,278.0
1723,199.0
1724,271.0
1728,15.0
1730,30.0
1732,21.0
1737,33.0
1745,100.0
1747,14.0
1748,2.0
1755,91.0
1759,14.0
1761,271.0
1764,274.0
1765,173.0
1766,98.0
1768,69.0
1770,30.0
1771,134.0
1774,87.0
1785,92.0
1788,187.0
1792,28.0
1794,205.0
1797,129.0
1798,17.0
1799,215.0
1802,92.0
1806,70.0
1808,117.0
1810,151.0
1818,86.0
1819,425.0
1820,278.0
1822,205.0
1826,158.0
1827,127.0
1835,24.0
1841,94.0
1842,42.0
1843,24.0
1846,51.0
1849,41.0
1850,111.0
1851,267.0
1857,137.0
1858,175.0
1860,87.0
1861,213.0
1864,132.0
1869,335.0
1871,137.0
1872,14.0
1875,8.0
1878,215.0
1879,205.0
1885,94.0
1888,22.0
1889,46.0
1890,92.0
1896,109.0
1897,217.0
1898,151.0
1900,69.0
1905,7.0
1908,135.0
1909,90.0
1913,137.0
1918,79.0
1922,317.0
1923,165.0
1925,271.0
1926,339.0
1927,335.0
1930,214.0
1935,15.0
1939,79.0
1942,90.0
1943,60.0
1948,291.0
1949,271.0
1951,119.0
1953,94.0
1959,92.0
1963,24.0
1967,124.0
1973,278.0
1975,27.0
1976,91.0
1990,94.0
1993,79.0
1997,189.0
1999,165.0
2001,317.0
2004,98.0
2010,66.0
2013,91.0
2017,271.0
2021,113.0
2023,189.0
2026,153.0
2037,5.0
2039,267.0
2041,17.0
2046,33.0
2050,28.0
2060,158.0
2067,90.0
2069,199.0
2072,278.0
2074,115.0
2079,93.0
2083,27.0
2085,191.0
2087,15.0
2093,135.0
2094,32.0
2097,5.0
2103,95.0
2104,137.0
2107,115.0
2108,5.0
2110,86.0
2115,127.0
2117,30.0
2125,335.0
2127,248.0
2133,17.0
2134,300.0
2135,129.0
2141,213.0
2143,43.0
2145,80.0
2146,30.0
2147,304.0
2148,137.0
2149,137.0
2165,135.0
2166,213.0
2177,241.0
